ID,Country,Helpline Number,Name of Organization
52,Timor-Leste,(+670) 77004212; (+670) 78472598; (+670) 76916740,Uma Mahon FOKUPERS
53,Timor-Leste,(+670) 77463907,Uma Mahon Maria Tapo
54,Tonga,0800-444,Women and Children Crisis Centre Tonga
55,Vanuatu,(678) 24000,Vanuatu's Women's Centre
56,Vietnam,024 3333 55 99,"Center for Studies and Applied Sciences in Gender, Family, Women and Adolescents (CSAGA)"
57,Vietnam,1 900 96 96 80,Viet Nam Women's Union
58,Albania,+355 116117,National Counselling Line for Women and Girls
59,Armenia,+374 77570870,Women's Rights House
60,Armenia,+374 94876502,Women's Community 
61,Armenia,+374 77380053,Women's Empowerment Resource Center NGO
62,Armenia,+374 98886077,You Are Not Alone
63,Armenia,+374 91416249,Women's Rights Center
64,Armenia,+374 99887808,Women's Support Center
65,Austria,+43 800222555,Women's Helpline Against Violence
66,Azerbaijan,+994 12151,A helpline run by the Ministry of Internal Affairs
67,Azerbaijan,+99 4124085669; +994 125111151,Clean World' Social Union
68,Belgium,+32 80003030,Domestic violence helpline
69,Belgium,+32 0800 90901,My Marriage Belongs to Me 
70,Belgium,+32 80098100,SOS Rape
71,Belgium,+32 1712,Listening Ears
72,Belgium,+32 1712,Centres for General Welfare Work and Child Abuse Trust Centres helpline
73,Bosnia and Herzegovina,+387 1265,SOS helpline for survivors of domestic violence
74,Bosnia and Herzegovina,+387 1264,SOS line for domestic violence
75,Bosnia and Herzegovina,+387 80022334,Unique telephone line for support and help to survivors of war rape and sexual violence and their family members
76,Bulgaria,+359 80011977,Alliance for Protection against Gender-Based Violence
77,Bulgaria,+359 80018676,National Helpline for Survivors of Violence
78,Croatia,+385 116006,National Call Centre for Victims of Crime
79,Croatia,+385 800655222,Women's Help Now
80,Republic of Cyprus,+357 1440;  +357 22339001,Helpline 1440
81,Czech Republic,+420 116006; +420 603812361,White Circle of Safety - Victims Helpline
82,Denmark,+45 1888,Live Without Violence's National Hotline
83,Estonia,+372 116006,Victim's Crisis Helpline
84,Finland,+358 80005005,Zeroline against domestic violence and violence against women
85,France,+33 3919,Women Violence Info
86,Georgia,+995 322395111,Agency for the State Care and Assistance to Victims of Trafficking
87,Germany,+49 116016,Violence Against Women Helpline
88,Greece,+30 15900,SOS Helpline
89,Greece,+30 8011116000,Helpline against domestic violence 
90,Hungary,+36 80505101; +36 12674900,NANE Helpline 
91,Iceland,+35 5611205,The Women's Shelters Helpline
92,Ireland,+353 1800341900,Women's Aid 24hr National Freephone Helpline
93,Italy,+39 1522,National helpline against violence and stalking
94,Kosovo,+383 80011112,Helpline Number 
95,Latvia,+371 116123,Crisis and Counselling Centre 'Skalbes'
96,Latvia,+371 67378539,NGO Association 'MARTA Centre'
97,Liechtenstein,+423 3800203,Women's Shelter Liechtenstein
98,Lithuania,+370 880066366,Helpline for Women
99,Luxembourg,+352 20601060,Domestic Violence Helpline
100,Malta,+356 179,APPOGG Agency within the Foundation for Social Welfare Services
101,Malta,+356 2122 8333,Victim Support Malta
102,The Republic of Moldova,+373 80088008,Trust Line for Women and Girls
103,Montenegro,+382 80111111,National SOS Hotline for Domestic Violence
104,Netherlands,+31 8000188,Centre for Sexual Violence
105,Netherlands,+31 592347444,Against Your Will
106,North Macedonia,+389 70/75/77  141700,SOS Mobile National Line
107,North Macedonia,+389 15315,National SOS Line - Telephone for Trust
108,Norway,+47 116006,National Domestic Violence Helpline 
109,Poland,+48 600070717,Emergency Helpline for Women Victims of Violence 
110,Portugal,+351 800202148,Information Service for Domestic Violence Victims
111,Portugal,+351 116006,Victim Support Portugal's helpline
112,Portugal,+351 962048272,Association of Women against Violence's helpline
113,Portugal,+351 218873005,Women's Alternative and Response Union's helpline
114,Romania,+40 800500333,National Helpline for Victims of Domestic Violence
115,Russia,+7 88007000600,National helpline for women suffering from domestic violence
116,Serbia,+381 800222003,SOS Helpline for women with experience of violence
117,Slovakia,+421 800212212,National Helpline for Women Experiencing Violence
118,Slovenia,+386 801155,SOS Helpline for Women and Children - Victims of Violence
119,Spain,+34 016,"Telephone service for information, legal advice and immediate psychological attention by specialised personnel for all forms of violence against women"
120,Sweden,+46 20505050,Sweden's National Women's Helpline
121,Switzerland,+41 223452020,Rape and sexual assault helpline 
122,Switzerland,+41 143,General crisis helpline
123,Turkey,+90 2126569696,Emergency Domestic Violence Hotline
124,Ukraine,+380 800500335; + 380 116123,"National hotline on prevention of domestic violence, trafficking and gender discrimination"
125,Ukraine,+380 1547,"State Call Center on the prevention of human trafficking, domestic violence, gender-based violence, and violence against children"
126,United Kingdom,+44 8082000247,ENGLAND: Freephone 24hr National Domestic Violence Helpline
127,United Kingdom,+44 8088021414,NORTHERN IRELAND: 24hr Domestic and Sexual Violence Helpline
128,United Kingdom,+44 8000246991,NORTHERN IRELAND: Rape Crisis Helpline
129,United Kingdom,+44 8000271234,SCOTLAND:Scotland's Domestic Abuse and Forced Marriage Helpline
130,United Kingdom,+44 8088010302,SCOTLAND: Rape Crisis Helpline
131,United Kingdom,+44 8088010800,WALES: Live Fear Free Helpline 
132,Kazakhstan,150,Crisis Center Hotline
133,Kazakhstan,102,Police
